tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
138,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.74111070780906,-11.13621657528956,-52.00000000000000,0.00000000000000,0000
139,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.60354924013909,-10.69955927765126,-52.00000000000000,0.00000000000000,0000
140,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.46309761033132,-10.28002355755159,-52.00000000000000,0.00000000000000,0000
141,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.31995157068447,-9.87693806833266,-52.00000000000000,0.00000000000000,0000
142,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.17429837777331,-9.48965778721557,-52.00000000000000,0.00000000000000,0000
143,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.02631713373157,-9.11756298312633,-52.00000000000000,0.00000000000000,0000
144,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.87617911407168,-8.76005822499393,-52.00000000000000,0.00000000000000,0000
145,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.72404808257025,-8.41657142893361,-52.00000000000000,0.00000000000000,0000
146,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.57008059372698,-8.08655294279059,-52.00000000000000,0.00000000000000,0000
147,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.41442628328534,-7.76947466657934,-52.00000000000000,0.00000000000000,0000
148,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.25722814728357,-7.46482920741095,-52.00000000000000,0.00000000000000,0000
149,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-75.09862281008688,-7.17212906755624,-52.00000000000000,0.00000000000000,0000
150,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.93874078183332,-6.89090586434544,-52.00000000000000,0.00000000000000,0000
151,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.77770670570949,-6.62070958065591,-52.00000000000000,0.00000000000000,0000
152,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.61563959545536,-6.36110784478880,-52.00000000000000,0.00000000000000,0000
153,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.45265306348222,-6.11168523858208,-52.00000000000000,0.00000000000000,0000
154,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.28885553997253,-5.87204263265281,-52.00000000000000,0.00000000000000,0000
155,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-74.12435048331599,-5.64179654770502,-52.00000000000000,0.00000000000000,0000
156,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.95923658222232,-5.42057854088102,-52.00000000000000,0.00000000000000,0000
157,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.79360794983765,-5.20803461617419,-52.00000000000000,0.00000000000000,0000
158,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.62755431017908,-5.00382465795989,-52.00000000000000,0.00000000000000,0000
159,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.46116117718901,-4.80762188673785,-52.00000000000000,0.00000000000000,0000
160,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.29451002669954,-4.61911233621529,-52.00000000000000,0.00000000000000,0000
161,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-73.12767846158548,-4.43799435089386,-52.00000000000000,0.00000000000000,1000
162,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.96074037037383,-4.26397810335649,-52.00000000000000,0.00000000000000,0000
163,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.79376607956692,-4.09678513048167,-52.00000000000000,0.00000000000000,0000
164,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.62682249992645,-3.93614788784306,-52.00000000000000,0.00000000000000,0000
165,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.45997326695573,-3.78180932158134,-52.00000000000000,0.00000000000000,0000
166,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.29327887580844,-3.63352245706316,-52.00000000000000,0.00000000000000,0000
167,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-72.12679681084303,-3.49105000366909,-52.00000000000000,0.00000000000000,0000
168,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-71.96058167003332,-3.35416397507794,-52.00000000000000,0.00000000000000,0000
169,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-71.79468528443762,-3.22264532444006,-52.00000000000000,0.00000000000000,0000
170,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-71.62915683292084,-3.09628359385562,-52.00000000000000,0.00000000000000,0000
171,-52.00000000000000,0.00000000000000,-51.32944929048897,66.05427394172222,-72.13459366182731,-69.02915051931930,-52.00000000000000,0.00000000000000,0000
172,-52.00000000000000,0.00000000000000,-50.69186334141392,63.46424881408120,-72.60752450179261,-66.32247881261809,-52.00000000000000,0.00000000000000,0000
173,-52.00000000000000,0.00000000000000,-50.08588319761488,60.97578002430457,-73.04935017388104,-63.72193722156717,-52.00000000000000,0.00000000000000,0000
174,-52.00000000000000,0.00000000000000,-49.51020384990159,58.58488549142702,-73.46141531603843,-61.22336432480906,-52.00000000000000,0.00000000000000,0000
175,-52.00000000000000,0.00000000000000,-48.96357211322905,56.28773927411124,-73.84501059856247,-58.82276187265165,-52.00000000000000,0.00000000000000,0000
176,-52.00000000000000,0.00000000000000,-48.44478458813614,54.08066544832553,-74.20137485257894,-56.51628838901564,-52.00000000000000,0.00000000000000,0000
177,-52.00000000000000,0.00000000000000,-47.95268570218239,51.96013222508111,-74.53169711493595,-54.30025302425329,-52.00000000000000,0.00000000000000,0000
